iter	Passed	Remaining
416	87804	122758
417	88008	122537
418	88192	122290
419	88395	122069
420	88564	121802
421	88758	121569
422	88936	121315
423	89165	121130
424	89381	120927
425	89605	120736
426	89799	120503
427	89999	120279
428	90265	120143
429	90492	119955
430	90698	119738
431	90893	119507
432	91083	119270
433	91304	119074
434	91476	118814
435	91699	118620
436	91889	118384
437	92106	118182
438	92366	118035
439	92585	117835
440	92803	117634
441	93030	117445
442	93272	117274
443	93475	117054
444	93674	116829
445	93867	116597
446	94092	116404
447	94297	116188
448	94513	115984
449	94738	115791
450	94935	115563
451	95121	115324
452	95311	115089
453	95501	114853
454	95713	114645
455	95923	114434
456	96138	114230
457	96348	114018
458	96607	113866
459	96840	113682
460	97066	113490
461	97276	113278
462	97492	113074
463	97676	112832
464	97858	112590
465	98072	112383
466	98311	112205
467	98519	111991
468	98751	111806
469	98969	111603
470	99149	111358
471	99367	111156
472	99587	110956
473	99764	110708
474	99967	110490
475	100221	110327
476	100413	110097
477	100621	109884
478	100822	109662
479	101005	109422
480	101213	109209
481	101427	109002
482	101625	108779
483	101835	108568
484	102025	108335
485	102230	108120
486	102432	107900
487	102642	107690
488	102839	107466
489	103039	107244
490	103254	107040
491	103448	106812
492	103698	106643
493	103894	106418
494	104100	106203
495	104322	106004
496	104514	105776
497	104698	105539
498	104876	105296
499	105119	105119
500	105311	104891
501	105546	104705
502	105749	104487
503	105980	104298
504	106217	104114
505	106431	103907
506	106637	103692
507	106846	103481
508	107043	103257
509	107269	103062
510	107469	102842
511	107670	102623
512	107887	102419
513	108177	102284
514	108368	102055
515	108555	101823
516	108770	101617
517	108959	101387
518	109163	101171
519	109377	100963
520	109619	100782
521	109825	100568
522	110021	100344
523	110228	100131
524	110428	99911
525	110646	99707
526	110835	99478
527	111036	99260
528	111265	99065
529	111446	98829
530	111664	98626
531	111869	98411
532	112058	98182
533	112244	97951
534	112473	97757
535	112654	97521
536	112879	97324
537	113089	97113
538	113302	96906
539	113476	96664
540	113718	96481
541	113913	96259
542	114124	96049
543	114333	95838
544	114545	95629
545	114763	95425
546	114958	95203
547	115177	95000
548	115380	94784
549	115627	94603
550	115846	94401
551	116055	94189
552	116321	94024
553	116545	93825
554	116759	93617
555	116986	93421
556	117210	93221
557	117408	93000
558	117600	92775
559	117794	92553
560	117993	92333
561	118221	92136
562	118417	91915
563	118638	91713
564	118861	91512
565	119054	91289
566	119268	91081
567	119465	90861
568	119672	90648
569	119904	90453
570	120153	90273
571	120378	90073
572	120614	89881
573	120802	89654
574	121016	89446
575	121222	89233
576	121405	89002
577	121628	88801
578	121881	88622
579	122170	88468
580	122408	88277
581	122609	88059
582	122856	87874
583	123085	87677
584	123290	87462
585	123505	87254
586	123713	87042
587	123909	86821
588	124091	86590
589	124325	86395
590	124517	86171
591	124802	86012
592	125001	85793
593	125201	85575
594	125407	85361
595	125598	85137
596	125830	84941
597	126028	84721
598	126210	84491
599	126401	84267
600	126631	84069
601	126823	83846
602	127066	83657
603	127252	83430
604	127457	83215
605	127642	82988
606	127852	82777
607	128059	82564
608	128277	82359
609	128461	82131
610	128652	81908
611	128850	81689
612	129062	81479
613	129270	81267
614	129487	81061
615	129703	80854
616	129905	80638
617	130113	80426
618	130310	80207
619	130516	79993
620	130723	79781
621	130921	79562
622	131121	79346
623	131299	79116
624	131515	78909
625	131698	78682
626	131908	78471
627	132110	78256
628	132342	78058
629	132550	77847
630	132765	77639
631	132956	77417
632	133154	77200
633	133345	76978
634	133580	76782
635	133753	76550
636	133958	76337
637	134156	76119
638	134359	75906
639	134550	75684
640	134778	75484
641	135006	75283
642	135222	75076
643	135449	74875
644	135637	74653
645	135853	74446
646	136047	74226
647	136268	74022
648	136468	73806
649	136673	73593
650	136882	73382
651	137121	73187
652	137318	72970
653	137508	72749
654	137707	72533
655	137939	72334
656	138118	72107
657	138344	71905
658	138540	71688
659	138728	71466
660	138909	71241
661	139130	71036
662	139308	70810
663	139506	70593
664	139701	70375
665	139903	70161
666	140128	69959
667	140295	69727
668	140515	69522
669	140716	69308
670	140959	69114
671	141167	68903
672	141396	68702
673	141585	68481
674	141780	68264
675	141959	68039
676	142142	67816
677	142343	67602
678	142567	67399
679	142768	67185
680	142974	66973
681	143170	66757
682	143372	66543
683	143555	66320
684	143777	66116
685	143997	65911
686	144195	65696
687	144379	65474
688	144552	65248
689	144792	65051
690	145005	64843
691	145234	64641
692	145473	64444
693	145676	64232
694	145913	64033
695	146105	63816
696	146300	63599
697	146505	63387
698	146737	63187
699	146977	62990
700	147202	62786
701	147420	62580
702	147674	62389
703	147871	62173
704	148079	61962
705	148272	61745
706	148466	61528
707	148675	61318
708	148900	61114
709	149094	60897
710	149314	60691
711	149522	60481
712	149742	60275
713	149974	60073
714	150186	59864
715	150402	59656
716	150640	59457
717	150861	59251
718	151077	59044
719	151266	58825
720	151468	58612
721	151692	58407
722	151927	58207
723	152126	57992
724	152306	57771
725	152515	57561
726	152726	57351
727	152939	57142
728	153136	56927
729	153356	56720
730	153537	56500
731	153715	56278
732	153899	56058
733	154092	55842
734	154284	55626
735	154499	55418
736	154706	55207
737	154937	55004
738	155119	54785
739	155334	54576
740	155565	54374
741	155797	54172
742	156085	53989
743	156285	53775
744	156545	53582
745	156738	53366
746	156971	53164
747	157273	52985
748	157478	52773
749	157718	52572
750	157911	52356
751	158123	52146
752	158345	51940
753	158572	51735
754	158789	51527
755	159035	51328
756	159309	51139
757	159490	50919
758	159675	50700
759	159898	50494
760	160088	50277
761	160340	50080
762	160525	49861
763	160737	49651
764	160938	49438
765	161133	49223
766	161317	49005
767	161551	48801
768	161794	48601
769	161978	48383
770	162158	48163
771	162374	47955
772	162622	47755
773	162836	47546
774	163052	47337
775	163265	47128
776	163469	46915
777	163674	46703
778	163885	46493
779	164073	46277
780	164294	46069
781	164478	45851
782	164746	45657
783	164938	45442
784	165158	45234
785	165385	45028
786	165599	44819
787	165832	44614
788	166046	44405
789	166260	44195
790	166460	43982
791	166654	43767
792	166864	43557
793	167093	43351
794	167273	43133
795	167455	42915
796	167677	42708
797	167870	42493
798	168104	42289
799	168316	42079
800	168599	41886
801	168812	41676
802	169039	41470
803	169250	41260
804	169459	41049
805	169714	40849
806	169945	40643
807	170140	40429
808	170349	40218
809	170575	40011
810	170819	39808
811	171011	39593
812	171189	39375
813	171373	39159
814	171577	38947
815	171828	38745
816	172043	38536
817	172248	38324
818	172470	38116
819	172692	37908
820	172901	37697
821	173092	37482
822	173313	37274
823	173523	37063
824	173781	36862
825	173994	36652
826	174208	36442
827	174419	36232
828	174686	36033
829	174891	35821
830	175079	35605
831	175292	35395
832	175493	35183
833	175738	34979
834	175963	34771
835	176170	34559
836	176360	34344
837	176586	34137
838	176782	33923
839	177005	33715
840	177213	33504
841	177422	33293
842	177652	33085
843	177865	32875
844	178058	32661
845	178324	32460
846	178520	32247
847	178748	32039
848	178959	31829
849	179174	31619
850	179387	31408
851	179565	31192
852	179768	30979
853	179976	30768
854	180198	30559
855	180424	30351
856	180625	30139
857	180853	29931
858	181059	29719
859	181261	29507
860	181469	29296
861	181675	29084
862	181896	28875
863	182137	28669
864	182334	28456
865	182532	28244
866	182718	28029
867	182947	27821
868	183143	27608
869	183343	27396
870	183541	27183
871	183792	26978
872	183990	26766
873	184226	26558
874	184446	26349
875	184630	26134
876	184833	25923
877	185032	25710
878	185244	25500
879	185427	25285
880	185662	25078
881	185883	24868
882	186093	24657
883	186297	24446
884	186516	24236
885	186744	24028
886	186993	23822
887	187210	23612
888	187424	23401
889	187613	23188
890	187817	22976
891	187990	22761
892	188197	22550
893	188409	22339
894	188601	22126
895	188815	21916
896	188997	21702
897	189191	21489
898	189475	21287
899	189676	21075
900	189918	20867
901	190116	20655
902	190308	20442
903	190486	20228
904	190685	20016
905	190879	19804
906	191087	19593
907	191306	19383
908	191497	19170
909	191714	18960
910	191966	18754
911	192174	18543
912	192435	18337
913	192635	18125
914	192886	17918
915	193126	17710
916	193369	17502
917	193585	17291
918	193836	17084
919	194055	16874
920	194273	16664
921	194494	16454
922	194701	16242
923	194918	16032
924	195111	15819
925	195310	15607
926	195513	15396
927	195736	15186
928	195944	14975
929	196188	14766
930	196440	14558
931	196673	14349
932	196886	14138
933	197142	13930
934	197351	13719
935	197579	13509
936	197824	13300
937	198037	13089
938	198255	12879
939	198476	12668
940	198684	12457
941	198895	12246
942	199092	12034
943	199291	11822
944	199511	11611
945	199742	11401
946	199955	11190
947	200181	10980
948	200381	10768
949	200622	10559
950	200812	10346
951	201016	10135
952	201224	9923
953	201415	9711
954	201629	9500
955	201825	9289
956	202038	9078
957	202245	8866
958	202456	8655
959	202703	8445
960	202927	8235
961	203150	8024
962	203364	7813
963	203571	7602
964	203823	7392
965	204049	7181
966	204245	6970
967	204440	6758
968	204661	6547
969	204975	6339
970	205155	6127
971	205367	5915
972	205573	5704
973	205754	5492
974	205945	5280
975	206149	5069
976	206365	4858
977	206563	4646
978	206799	4435
979	207001	4224
980	207217	4013
981	207437	3802
982	207658	3591
983	207898	3380
984	208120	3169
985	208325	2957
986	208523	2746
987	208747	2535
988	208969	2324
989	209204	2113
990	209445	1902
991	209658	1690
992	209879	1479
993	210095	1268
994	210288	1056
995	210496	845
996	210707	634
997	210935	422
998	211153	211
999	211346	0
